experiment_name,instance_name,algorithm_name,seed,T,gamma,u_star,final_utility,mean_utility,final_avg_utility,final_gap,mean_gap,final_avg_weight_gap,final_time_avg_gap,final_cumulative_regret,l1_error_to_w_star,final_mc_bias_inf,final_mc_bias_l2,final_w_0,final_w_1,final_w_2,final_w_3,final_w_4,final_w_5,final_w_6,final_w_7,final_w_8,final_w_9,final_w_10,final_w_11,final_w_12,final_w_13,final_w_14,final_w_15,final_w_16,final_w_17,final_w_18,final_w_19,final_w_20,final_w_21,final_w_22,final_w_23,final_w_24,final_w_25,final_w_26,final_w_27,final_w_28,final_w_29,final_avg_w_0,final_avg_w_1,final_avg_w_2,final_avg_w_3,final_avg_w_4,final_avg_w_5,final_avg_w_6,final_avg_w_7,final_avg_w_8,final_avg_w_9,final_avg_w_10,final_avg_w_11,final_avg_w_12,final_avg_w_13,final_avg_w_14,final_avg_w_15,final_avg_w_16,final_avg_w_17,final_avg_w_18,final_avg_w_19,final_avg_w_20,final_avg_w_21,final_avg_w_22,final_avg_w_23,final_avg_w_24,final_avg_w_25,final_avg_w_26,final_avg_w_27,final_avg_w_28,final_avg_w_29,w_star_0,w_star_1,w_star_2,w_star_3,w_star_4,w_star_5,w_star_6,w_star_7,w_star_8,w_star_9,w_star_10,w_star_11,w_star_12,w_star_13,w_star_14,w_star_15,w_star_16,w_star_17,w_star_18,w_star_19,w_star_20,w_star_21,w_star_22,w_star_23,w_star_24,w_star_25,w_star_26,w_star_27,w_star_28,w_star_29
wasserstein_main_gamma_0001,gaussian_30,wasserstein_if_ascent_exact,100,500,0.001,-0.00709166894536976,-0.020106244670093337,-0.02306520542371346,-0.022892920070449272,0.013014575724723577,0.0159735364783437,0.01580125112507951,0.0159735364783437,7.98676823917185,1.7718582353990473,,,0.018400407679419712,0.022083356629880282,0.016269071914560316,0.019760777575097675,0.026054328159743338,0.01790442485045719,0.022937750694545272,0.02105361186371534,0.021937735963107226,0.02385129522809948,0.027107289116802574,0.030166908732826417,0.028365560310536105,0.048736387187880814,0.02996684011813522,0.03514658756667398,0.0467548227757579,0.0678312430239894,0.029591286705577636,0.05923874049340276,0.025170577558208947,0.0870754453726703,0.02355895955409638,0.04187825658960504,0.024030907398189173,0.09623493754891876,0.02598056760880618,0.017194075387826125,0.021017184036901584,0.02470066235456892,0.02114139455204032,0.024269658951164452,0.020231570544763135,0.022792167029634932,0.026031715829404313,0.023073078151351286,0.02451699809367711,0.022512652572831107,0.023789831270143127,0.02610507053001927,0.028259200333892762,0.028633839353439033,0.028164850587426318,0.04119049526496868,0.03045630447574811,0.03109209570229506,0.039853502295258164,0.05347905657781251,0.029213228666714795,0.045608698971866764,0.01867001629897421,0.06795683075197595,0.02853880742114136,0.04128608351263841,0.02835700458148715,0.10041850569846451,0.03600404054487405,0.01604706157357458,0.03695654176246312,0.035349698099955314,0.0009999999999999994,0.0009999999999999996,0.0009999999999999994,0.03662450463244266,0.0009999999999999994,0.001000000000000121,0.0010000000000000178,0.0009999999999999994,0.0009999999999999994,0.001000000000000005,0.0010000000000000135,0.0010000000000000037,0.001000000000000011,0.0010000000000000347,0.0010000000000000247,0.0010000000000000666,0.0010000000000000284,0.0009999999999999994,0.0009999999999999994,0.6455172777981242,0.2908582175694329,0.0009999999999999994,0.0009999999999999994,0.0010000000000000009,0.00100000000000002,0.001000000000000003,0.0009999999999999996,0.0009999999999999994,0.0009999999999999994,0.0009999999999999994
wasserstein_main_gamma_0001,gaussian_30,wasserstein_if_ascent_exact,200,500,0.001,-0.00709166894536976,-0.018636184959671377,-0.020574498704511533,-0.020391859481528194,0.011544516014301617,0.013482829759141775,0.013300190536158434,0.013482829759141769,6.741414879570884,1.7024804086838545,,,0.005648119614827742,0.01448347414568765,0.008669148015307306,0.026442750049867444,0.015933760182913478,0.021861394727906266,0.029801412356041414,0.025870111745008764,0.025717250237620386,0.03571271032027618,0.03102175002640339,0.023353745465884947,0.03872603606868779,0.03170358860728085,0.01845731114002292,0.059926156543520855,0.03650696918852423,0.04451939763035989,0.05093333403135925,0.04685813447298004,0.060317261935818725,0.07157671465795602,0.05601161377032674,0.03722463710742107,0.02969666976970077,0.06035614377203601,0.04406865522043465,0.013083717099968405,0.028398811947398808,0.00711922014845813,0.008281781000172664,0.017938402394773928,0.011080418880487327,0.028683735123142998,0.02333806398416269,0.023638768078268264,0.031699860678701786,0.02789912690633713,0.026958899923762783,0.03558044361774007,0.029903569992279454,0.021240506806095242,0.03736738931482049,0.030968067267905755,0.0185884035669862,0.05451881497059736,0.03290770333323459,0.042847913094290604,0.044340645594048864,0.041544829632574935,0.05153123090235453,0.05809253124023998,0.05066112109829637,0.04807291820058694,0.029783083330781456,0.061920715252568835,0.05063646200382385,0.021514288214081446,0.026463960466748506,0.011996345130135089,0.0009999999999999994,0.0009999999999999996,0.0009999999999999994,0.03662450463244266,0.0009999999999999994,0.001000000000000121,0.0010000000000000178,0.0009999999999999994,0.0009999999999999994,0.001000000000000005,0.0010000000000000135,0.0010000000000000037,0.001000000000000011,0.0010000000000000347,0.0010000000000000247,0.0010000000000000666,0.0010000000000000284,0.0009999999999999994,0.0009999999999999994,0.6455172777981242,0.2908582175694329,0.0009999999999999994,0.0009999999999999994,0.0010000000000000009,0.00100000000000002,0.001000000000000003,0.0009999999999999996,0.0009999999999999994,0.0009999999999999994,0.0009999999999999994
wasserstein_main_gamma_0001,gaussian_30,wasserstein_if_ascent_exact,300,500,0.001,-0.00709166894536976,-0.017455986496210524,-0.01915828438254252,-0.01909049393205439,0.010364317550840763,0.012066615437172757,0.011998824986684628,0.012066615437172756,6.033307718586378,1.5565763181959238,,,0.012456970740430309,0.019755143705178217,0.015215257875387671,0.008233412423837246,0.016213520484879423,0.015120978551979806,0.02261296134153716,0.02603958443681087,0.026566076799876406,0.028223580327125186,0.025992013806278465,0.039702699891405,0.02992739755389621,0.032494022463820826,0.04675746606937096,0.03569531093751156,0.04671733844554399,0.03893948238332621,0.043493077005702284,0.04490202643931881,0.1576154064493858,0.06304494872787422,0.020357018069409854,0.041154600954439964,0.02150718500756455,0.031088242884229848,0.03210285203521176,0.015772051230683027,0.013374809391789552,0.028924563566194873,0.017585654965536403,0.023619734790174627,0.017992171373448346,0.009584788793766936,0.01952269771525822,0.017537403430740707,0.025800351966221855,0.02719792215112573,0.02765124887904303,0.02747302624909443,0.024832168563305522,0.03849175600569263,0.029660115422558368,0.03308820199827008,0.042821988910850574,0.0349275668388165,0.04009442132437063,0.035388454343035086,0.03644669636576118,0.038569977700025224,0.14655707440824564,0.06197825500071393,0.023133876151463506,0.03581895032423983,0.02625820515970852,0.03359901573459366,0.03360028267123511,0.02332526366564547,0.015094383289637213,0.03234834580742114,0.0009999999999999994,0.0009999999999999996,0.0009999999999999994,0.03662450463244266,0.0009999999999999994,0.001000000000000121,0.0010000000000000178,0.0009999999999999994,0.0009999999999999994,0.001000000000000005,0.0010000000000000135,0.0010000000000000037,0.001000000000000011,0.0010000000000000347,0.0010000000000000247,0.0010000000000000666,0.0010000000000000284,0.0009999999999999994,0.0009999999999999994,0.6455172777981242,0.2908582175694329,0.0009999999999999994,0.0009999999999999994,0.0010000000000000009,0.00100000000000002,0.001000000000000003,0.0009999999999999996,0.0009999999999999994,0.0009999999999999994,0.0009999999999999994
wasserstein_main_gamma_0001,gaussian_30,wasserstein_if_ascent_exact,400,500,0.001,-0.00709166894536976,-0.020789674805610614,-0.023055629653733766,-0.02295021717504369,0.013698005860240853,0.01596396070836401,0.01585854822967393,0.015963960708364033,7.981980354182016,1.712601850301018,,,0.008577462218587037,0.01583490353463398,0.017154123517877026,0.019980078919048423,0.017476102971487762,0.004899421692695653,0.02572759698705446,0.026078428172949093,0.022182705942509845,0.03121468305461367,0.021408696974967042,0.030546689794255344,0.04333657311622376,0.018852900501347487,0.06375520130914215,0.05289262381533447,0.047951730476096,0.04534177364059238,0.035592731766604345,0.05955965163686526,0.04819641772691455,0.06059199406735397,0.03748331453452909,0.02341024238821187,0.027899641498050336,0.04108178884610632,0.02862984807773057,0.032500730693306445,0.03423375068316073,0.057608191441751014,0.012885122792206206,0.020876263088196585,0.022709764723192628,0.022759532845336432,0.021769317910779042,0.0059913041986465665,0.02769116700936527,0.028004828970377774,0.024262839007571334,0.03204485498291072,0.023433109441816004,0.03039738665713815,0.04245162117585004,0.016522780383586795,0.05877670807312831,0.04609829903385904,0.03718702687903155,0.039678330928361816,0.03412758316540205,0.050182056725631544,0.04375748527852271,0.0478024312106888,0.031966388801316574,0.03158805353840847,0.03902541460742655,0.041016201285663516,0.03183856754134961,0.032466746368857394,0.03348527906903156,0.06920353430634686,0.0009999999999999994,0.0009999999999999996,0.0009999999999999994,0.03662450463244266,0.0009999999999999994,0.001000000000000121,0.0010000000000000178,0.0009999999999999994,0.0009999999999999994,0.001000000000000005,0.0010000000000000135,0.0010000000000000037,0.001000000000000011,0.0010000000000000347,0.0010000000000000247,0.0010000000000000666,0.0010000000000000284,0.0009999999999999994,0.0009999999999999994,0.6455172777981242,0.2908582175694329,0.0009999999999999994,0.0009999999999999994,0.0010000000000000009,0.00100000000000002,0.001000000000000003,0.0009999999999999996,0.0009999999999999994,0.0009999999999999994,0.0009999999999999994
wasserstein_main_gamma_0001,gaussian_30,wasserstein_if_ascent_exact,500,500,0.001,-0.00709166894536976,-0.018310108421274736,-0.020961475021488422,-0.020720407005800277,0.011218439475904975,0.01386980607611866,0.013628738060430516,0.013869806076118648,6.934903038059324,1.650731190406436,,,0.016817571505604534,0.014250619498064741,0.02362076317670182,0.009939499980950452,0.01898178071033008,0.02156071005734747,0.023278412454576337,0.022055878541908356,0.019928788107751182,0.025007526549077487,0.03066358173759079,0.026719249526399445,0.04231734034295203,0.03402526924283246,0.02579402856510963,0.030365200678414427,0.04117226427928099,0.024560718082399093,0.05651388913871146,0.1044471781396902,0.0598950993579255,0.04505612685598533,0.06463704500306944,0.02987243175519315,0.07720682782622461,0.02919151452729792,0.010933572189946396,0.03692206623115135,0.008843295699358825,0.02542175023815454,0.02347019223091505,0.018862472133585953,0.027508946114829513,0.011541870734345464,0.021566574425557573,0.02405226484663896,0.028257061171338253,0.02513435383646324,0.023039889272616253,0.02602484756118178,0.029305188976132764,0.02791931629492278,0.04170854474604822,0.02920420372646364,0.02056954738041463,0.030068950252956684,0.03690517956129829,0.023103781115912415,0.049693621215041506,0.08586060234579557,0.05023193171664082,0.04522312458553591,0.05546617538498447,0.033501591251639054,0.07379671909812481,0.03036620607178859,0.01969743330271983,0.034887116275008505,0.028821694777511862,0.02421059959358771,0.0009999999999999994,0.0009999999999999996,0.0009999999999999994,0.03662450463244266,0.0009999999999999994,0.001000000000000121,0.0010000000000000178,0.0009999999999999994,0.0009999999999999994,0.001000000000000005,0.0010000000000000135,0.0010000000000000037,0.001000000000000011,0.0010000000000000347,0.0010000000000000247,0.0010000000000000666,0.0010000000000000284,0.0009999999999999994,0.0009999999999999994,0.6455172777981242,0.2908582175694329,0.0009999999999999994,0.0009999999999999994,0.0010000000000000009,0.00100000000000002,0.001000000000000003,0.0009999999999999996,0.0009999999999999994,0.0009999999999999994,0.0009999999999999994
wasserstein_main_gamma_0001,gaussian_30,wasserstein_if_ascent_exact,600,500,0.001,-0.00709166894536976,-0.020413815974382153,-0.021763105809635336,-0.021664117161674767,0.013322147029012393,0.014671436864265575,0.014572448216305007,0.01467143686426558,7.33571843213279,1.7185225903865566,,,0.01111291132824276,0.015555049642088026,0.006802613873029484,0.016400450444737893,0.022338150696842553,0.01683922189924942,0.011429985095849717,0.024401399983228326,0.027002671904198618,0.025003426434440205,0.018000534230311928,0.03126429451128645,0.08134657688961806,0.03600795531422516,0.03613208027196146,0.03960271158999508,0.0460924695103392,0.03875802562012893,0.045932393212173524,0.058907810795143775,0.046529373038937415,0.03651656323793991,0.028453972263054,0.012659320669992362,0.11499190201725093,0.006999984705061213,0.03806876509542785,0.0583298967534553,0.00811110413773118,0.040408384834059195,0.015785720014183633,0.018318446462284366,0.009621441731291577,0.019933061173922233,0.025343195881134747,0.018870538919591503,0.011910742852805386,0.02600281644450921,0.02814697108034243,0.02761444142419162,0.017998265129172266,0.03055123060576927,0.076748233233345,0.033109440862761456,0.032702120148363836,0.03919118430875317,0.03891218108787933,0.034816458208634646,0.042143680903543014,0.0516240823986784,0.04218156123412054,0.03410476889187588,0.026011261362603722,0.019137341888164416,0.12939468015813646,0.0040139395581961545,0.036125797662480884,0.05622198230481978,0.009111233861999734,0.04435318020644528,0.0009999999999999994,0.0009999999999999996,0.0009999999999999994,0.03662450463244266,0.0009999999999999994,0.001000000000000121,0.0010000000000000178,0.0009999999999999994,0.0009999999999999994,0.001000000000000005,0.0010000000000000135,0.0010000000000000037,0.001000000000000011,0.0010000000000000347,0.0010000000000000247,0.0010000000000000666,0.0010000000000000284,0.0009999999999999994,0.0009999999999999994,0.6455172777981242,0.2908582175694329,0.0009999999999999994,0.0009999999999999994,0.0010000000000000009,0.00100000000000002,0.001000000000000003,0.0009999999999999996,0.0009999999999999994,0.0009999999999999994,0.0009999999999999994
wasserstein_main_gamma_0001,gaussian_30,wasserstein_if_ascent_exact,700,500,0.001,-0.00709166894536976,-0.01831668155420889,-0.021707480313651335,-0.021494371214171956,0.011225012608839128,0.014615811368281576,0.014402702268802196,0.01461581136828158,7.30790568414079,1.6881941920203845,,,0.011248478563274123,0.022464564250105304,0.005612275437322174,0.02218852196644538,0.024453270890007275,0.018962287211211425,0.02673757272610256,0.014780522032291278,0.02779061008891298,0.027068207849580132,0.03354801705911893,0.03280647288830813,0.02479677941617817,0.04059774656810034,0.04098364560146386,0.03275911299195007,0.0253770963608261,0.04107858518739576,0.0841219402337481,0.0459176597257279,0.07913721248632391,0.03941794862445733,0.06938691458969756,0.056069994039032546,0.031666672177587396,0.026915049499062836,0.02475279665911685,0.034872420549030905,0.030199227012335086,0.004288397315285712,0.016796920845038237,0.025567160714920704,0.008696276567613324,0.02562138744309793,0.02946452842297677,0.023024624348983357,0.02841173953143407,0.015069794326747613,0.030276653000597963,0.028859160513686963,0.032564994886170456,0.031241206954579333,0.02580868716321017,0.035082738395180925,0.03598368605319687,0.03164732835938009,0.02450285483066044,0.037987009078583336,0.06490635106595055,0.044084184638254524,0.059197331908455005,0.03661495540206672,0.057194925914566305,0.04980271156196231,0.035290999990505965,0.03167411352279602,0.03187724862253478,0.036401118651056046,0.04228347163183587,0.024065835653957476,0.0009999999999999994,0.0009999999999999996,0.0009999999999999994,0.03662450463244266,0.0009999999999999994,0.001000000000000121,0.0010000000000000178,0.0009999999999999994,0.0009999999999999994,0.001000000000000005,0.0010000000000000135,0.0010000000000000037,0.001000000000000011,0.0010000000000000347,0.0010000000000000247,0.0010000000000000666,0.0010000000000000284,0.0009999999999999994,0.0009999999999999994,0.6455172777981242,0.2908582175694329,0.0009999999999999994,0.0009999999999999994,0.0010000000000000009,0.00100000000000002,0.001000000000000003,0.0009999999999999996,0.0009999999999999994,0.0009999999999999994,0.0009999999999999994
wasserstein_main_gamma_0001,gaussian_30,wasserstein_if_ascent_exact,800,500,0.001,-0.00709166894536976,-0.01854970262739409,-0.020928937446932732,-0.020755254548498647,0.011458033682024329,0.01383726850156297,0.013663585603128886,0.013837268501562978,6.918634250781489,1.7179284205381764,,,0.008404136382723498,0.013460811217074872,0.007596744510956032,0.013358741221849765,0.018850025243934653,0.016383385186146557,0.02414947303137778,0.02036700331599684,0.020488624837039063,0.028635999063492266,0.03287678244027342,0.04570086118757451,0.030619225422925438,0.03095480874449147,0.10382162948189508,0.009157943440016011,0.033632228022722976,0.036999432074616936,0.06665439068980167,0.04921294456854772,0.06924756169278336,0.04719878017271373,0.061403985253424775,0.045821237674019154,0.020810144327173593,0.04484136578674673,0.021746192650097262,0.017216382479709743,0.02180693206546951,0.038582227814405685,0.01306017287974757,0.016528753639749476,0.009797908034185086,0.01594865450114164,0.024111776413675765,0.0209578645866083,0.026727538331396065,0.022496403214500423,0.021387836687820364,0.029835311740932045,0.033212595507405816,0.042734764477220674,0.029388637984966944,0.031983784284539823,0.09826860344355257,0.009715922441560313,0.0292015702659493,0.034047764349329046,0.05230601378386908,0.03950149075920164,0.05858564447056808,0.043218674166617704,0.06011914162539186,0.04198566037378625,0.020383855762906418,0.04339991903605431,0.03921422427157664,0.023077388701923537,0.0261876157583908,0.04261450850543233,0.0009999999999999994,0.0009999999999999996,0.0009999999999999994,0.03662450463244266,0.0009999999999999994,0.001000000000000121,0.0010000000000000178,0.0009999999999999994,0.0009999999999999994,0.001000000000000005,0.0010000000000000135,0.0010000000000000037,0.001000000000000011,0.0010000000000000347,0.0010000000000000247,0.0010000000000000666,0.0010000000000000284,0.0009999999999999994,0.0009999999999999994,0.6455172777981242,0.2908582175694329,0.0009999999999999994,0.0009999999999999994,0.0010000000000000009,0.00100000000000002,0.001000000000000003,0.0009999999999999996,0.0009999999999999994,0.0009999999999999994,0.0009999999999999994
wasserstein_main_gamma_0001,gaussian_30,wasserstein_if_ascent_exact,900,500,0.001,-0.00709166894536976,-0.0186354429532382,-0.02049041737809289,-0.020410349149079843,0.011543774007868438,0.013398748432723128,0.013318680203710083,0.013398748432723123,6.699374216361561,1.7160379247618407,,,0.003601395855558463,0.009561297361817959,0.016841110005734686,0.020137886167881317,0.02302466414856437,0.019110218858887713,0.01689938776069728,0.021528034382386284,0.01994532620481247,0.024380842597619894,0.026569862138764336,0.02239311319850486,0.03611906434660467,0.03928945316844482,0.03163572840275928,0.029417948188320907,0.058944831906166804,0.07109810252156401,0.054028414715499934,0.04815456736619088,0.06271170680606586,0.009853734287048268,0.07379423252174558,0.059151250476907336,0.0544488079933889,0.036130830290210025,0.03788032973278931,0.03989483358517773,0.022042329970687776,0.011410695039198268,0.004543911316914881,0.013205441605049415,0.019516377368938166,0.022982995350949442,0.026339406011325485,0.022354578746079604,0.0222512650837648,0.024596209103325113,0.021236999401890642,0.02730433117926995,0.028983712333186716,0.028121779196167106,0.03350871966573094,0.03575491160500413,0.0270093968951328,0.03066671800782888,0.05446458192160451,0.06191118626329235,0.048829501647406674,0.04167146760638974,0.05032657466174028,0.010145333887140227,0.06534735813513534,0.05599045647206269,0.05429485346961124,0.04187324668811441,0.04010762622693738,0.04213473470381807,0.027092686275910185,0.017433639170279024,0.0009999999999999994,0.0009999999999999996,0.0009999999999999994,0.03662450463244266,0.0009999999999999994,0.001000000000000121,0.0010000000000000178,0.0009999999999999994,0.0009999999999999994,0.001000000000000005,0.0010000000000000135,0.0010000000000000037,0.001000000000000011,0.0010000000000000347,0.0010000000000000247,0.0010000000000000666,0.0010000000000000284,0.0009999999999999994,0.0009999999999999994,0.6455172777981242,0.2908582175694329,0.0009999999999999994,0.0009999999999999994,0.0010000000000000009,0.00100000000000002,0.001000000000000003,0.0009999999999999996,0.0009999999999999994,0.0009999999999999994,0.0009999999999999994
wasserstein_main_gamma_0001,gaussian_30,wasserstein_if_ascent_exact,1000,500,0.001,-0.00709166894536976,-0.018314939799994837,-0.02040377714607146,-0.020170568585374304,0.011223270854625076,0.013312108200701701,0.013078899640004544,0.013312108200701691,6.656054100350845,1.7413494285393403,,,0.013647815978196257,0.02048013451003879,0.007611767710797128,0.020031659679036456,0.01711933111624283,0.022410324626826537,0.00864157008525739,0.015468554436039202,0.013396253615866728,0.020377544349743117,0.024349049813304078,0.030133531862070413,0.03283923603473777,0.07980803963672717,0.009997981498089021,0.02167049164550903,0.10977763063389631,0.0592651725433852,0.039368634904476146,0.045904460137041476,0.04399005279277288,0.07173503967151125,0.03645554830109771,0.04384253514305842,0.04172233193880884,0.03459110389753871,0.039529774859083586,0.046092109473222856,0.00772221995232205,0.022020099153302587,0.016105906500921068,0.0254019914891371,0.011141539049832287,0.024998250471133177,0.020155183578186908,0.02519931767828981,0.010152513049433742,0.01923887332934402,0.01553037533355116,0.023382069348203964,0.024377447775841457,0.03152031490187235,0.033069900176180174,0.07794694346761759,0.011343847801040243,0.02092652549774007,0.09753296633119438,0.052185821265568255,0.036285224174002116,0.03758963172927035,0.039737403529926,0.06458930020645313,0.03207848118582177,0.04321454281999111,0.04784474700554651,0.03205808466874538,0.0391414768446217,0.043565371541721694,0.015538683752513148,0.028147265496299083,0.0009999999999999994,0.0009999999999999996,0.0009999999999999994,0.03662450463244266,0.0009999999999999994,0.001000000000000121,0.0010000000000000178,0.0009999999999999994,0.0009999999999999994,0.001000000000000005,0.0010000000000000135,0.0010000000000000037,0.001000000000000011,0.0010000000000000347,0.0010000000000000247,0.0010000000000000666,0.0010000000000000284,0.0009999999999999994,0.0009999999999999994,0.6455172777981242,0.2908582175694329,0.0009999999999999994,0.0009999999999999994,0.0010000000000000009,0.00100000000000002,0.001000000000000003,0.0009999999999999996,0.0009999999999999994,0.0009999999999999994,0.0009999999999999994
