experiment_name,instance_name,algorithm_name,seed,T,gamma,u_star,final_utility,mean_utility,final_avg_utility,final_gap,mean_gap,final_avg_weight_gap,final_time_avg_gap,final_cumulative_regret,l1_error_to_w_star,final_mc_bias_inf,final_mc_bias_l2,final_w_0,final_w_1,final_w_2,final_w_3,final_avg_w_0,final_avg_w_1,final_avg_w_2,final_avg_w_3,w_star_0,w_star_1,w_star_2,w_star_3
wasserstein_main_gamma_0001,beta_mixture_4,wasserstein_if_ascent_exact,100,500,0.001,-0.0001470982778526291,-0.0005538387113957417,-0.0007506324736081233,-0.0007389500679313305,0.00040674043354311254,0.0006035341957554943,0.0005918517900787015,0.0006035341957554938,0.3017670978777469,0.20799177865658647,,,0.2810511365202582,0.27978626338052015,0.2449473726687598,0.1942152274304618,0.2714284417601243,0.27253144088034403,0.24832365544237073,0.20771646191716125,0.3239778859280719,0.3239778860406895,0.2185976342430678,0.13344659378817078
wasserstein_main_gamma_0001,beta_mixture_4,wasserstein_if_ascent_exact,200,500,0.001,-0.0001470982778526291,-0.0006352324926700601,-0.0008669863411139295,-0.0008545973472847115,0.00048813421481743103,0.0007198880632613003,0.0007074990694320824,0.0007198880632613,0.35994403163065,0.2139427812962798,,,0.27935419669870293,0.27985656284766275,0.23498342404366382,0.20580581640997062,0.26911620715223644,0.27186817416838505,0.23866970486555128,0.22034591381382718,0.3239778859280719,0.3239778860406895,0.2185976342430678,0.13344659378817078
wasserstein_main_gamma_0001,beta_mixture_4,wasserstein_if_ascent_exact,300,500,0.001,-0.0001470982778526291,-0.00064284725741841,-0.0008681897200248038,-0.0008577338680773761,0.000495748979565781,0.0007210914421721747,0.0007106355902247469,0.0007210914421721744,0.3605457210860872,0.22635728115071665,,,0.2745849975418324,0.2767824625203654,0.24849928360390355,0.20013325633389867,0.2658055507176611,0.26897158067574195,0.24984938907898666,0.2153734795276102,0.3239778859280719,0.3239778860406895,0.2185976342430678,0.13344659378817078
wasserstein_main_gamma_0001,beta_mixture_4,wasserstein_if_ascent_exact,400,500,0.001,-0.0001470982778526291,-0.0005662832303093276,-0.0007776341975137079,-0.0007628032452964993,0.0004191849524566985,0.0006305359196610788,0.0006157049674438701,0.0006305359196610797,0.31526795983053985,0.2049848822598002,,,0.2818258207182486,0.2810772860775019,0.239017020450063,0.1980798727541866,0.2748279041647049,0.27063542667415624,0.242514776851397,0.21202189230974147,0.3239778859280719,0.3239778860406895,0.2185976342430678,0.13344659378817078
wasserstein_main_gamma_0001,beta_mixture_4,wasserstein_if_ascent_exact,500,500,0.001,-0.0001470982778526291,-0.00055422429953199,-0.0007516552086730836,-0.0007395848126549951,0.0004071260216793609,0.0006045569308204546,0.0005924865348023659,0.0006045569308204544,0.3022784654102272,0.2080786675782136,,,0.27885647997684976,0.28205948697130573,0.24490441454359974,0.19417961850824472,0.269388105293847,0.27452833288580736,0.24872308418347966,0.20736047763686546,0.3239778859280719,0.3239778860406895,0.2185976342430678,0.13344659378817078
wasserstein_main_gamma_0001,beta_mixture_4,wasserstein_if_ascent_exact,600,500,0.001,-0.0001470982778526291,-0.0006116984555897641,-0.0008462204000155167,-0.0008349288395383614,0.000464600177737135,0.0006991221221628876,0.0006878305616857324,0.000699122122162888,0.349561061081444,0.21992475324461128,,,0.278859080118303,0.27773163203410023,0.2434988496904009,0.1999104381571959,0.2698509209244746,0.26814247442198114,0.24666419443200333,0.21534241022154085,0.3239778859280719,0.3239778860406895,0.2185976342430678,0.13344659378817078
wasserstein_main_gamma_0001,beta_mixture_4,wasserstein_if_ascent_exact,700,500,0.001,-0.0001470982778526291,-0.0005710603985614834,-0.0007932424840466297,-0.0007803487005451699,0.00042396212070885427,0.0006461442061940005,0.0006332504226925408,0.0006461442061940003,0.3230721030970002,0.20527942031310012,,,0.28113523227629256,0.28254115680105696,0.23682463014477217,0.19949898077787825,0.273814663368495,0.27150139844371635,0.2402339533745164,0.21444998481327227,0.3239778859280719,0.3239778860406895,0.2185976342430678,0.13344659378817078
wasserstein_main_gamma_0001,beta_mixture_4,wasserstein_if_ascent_exact,800,500,0.001,-0.0001470982778526291,-0.0005482488449377908,-0.0007607534467597441,-0.0007479680680412434,0.0004011505670851617,0.000613655168907115,0.0006008697901886144,0.0006136551689071148,0.3068275844535574,0.2065712337034575,,,0.28010369175646144,0.2821643154450514,0.2432708733311559,0.19446111946733124,0.27052197054750377,0.2741481845695291,0.24594722362027208,0.20938262126269547,0.3239778859280719,0.3239778860406895,0.2185976342430678,0.13344659378817078
wasserstein_main_gamma_0001,beta_mixture_4,wasserstein_if_ascent_exact,900,500,0.001,-0.0001470982778526291,-0.0005685575629898368,-0.0007696606625737777,-0.0007579896511390492,0.00042145928513720774,0.0006225623847211487,0.0006108913732864201,0.000622562384721148,0.311281192360574,0.1996037478286145,,,0.2812498944100456,0.2833727959934636,0.23552465381195337,0.19985265578453745,0.2725231393694323,0.27563075868502185,0.2380445949200685,0.21380150702547732,0.3239778859280719,0.3239778860406895,0.2185976342430678,0.13344659378817078
wasserstein_main_gamma_0001,beta_mixture_4,wasserstein_if_ascent_exact,1000,500,0.001,-0.0001470982778526291,-0.000609105980667908,-0.000817097766845615,-0.0008050949588082165,0.00046200770281527886,0.0006699994889929859,0.0006579966809555874,0.0006699994889929857,0.33499974449649284,0.20842773215464938,,,0.27920142978985435,0.28168434540663534,0.23600707302093202,0.20310715178257832,0.27064437413681797,0.2730975317546188,0.23989544755800649,0.21636264655055684,0.3239778859280719,0.3239778860406895,0.2185976342430678,0.13344659378817078
