experiment_name,instance_name,algorithm_name,seed,T,gamma,u_star,final_utility,mean_utility,final_avg_utility,final_gap,mean_gap,final_avg_weight_gap,final_time_avg_gap,final_cumulative_regret,l1_error_to_w_star,final_mc_bias_inf,final_mc_bias_l2,final_w_0,final_w_1,final_w_2,final_w_3,final_avg_w_0,final_avg_w_1,final_avg_w_2,final_avg_w_3,w_star_0,w_star_1,w_star_2,w_star_3
wasserstein_main_gamma_0001,beta_mixture_4,wasserstein_if_ascent_exact,100,500,0.001,-0.0001470982778526291,-0.00028843443341882287,-0.00046055204600883637,-0.000438577699451081,0.00014133615556619376,0.00031345376815620737,0.0002914794215984519,0.00031345376815620764,0.1567268840781038,0.1529135483092125,,,0.29715791651697954,0.29617954512938677,0.2402421746112948,0.16642036374233876,0.2847328015810174,0.28676619623313776,0.24602713222658182,0.18247386995926299,0.3239778859280719,0.3239778860406895,0.2185976342430678,0.13344659378817078
wasserstein_main_gamma_0001,beta_mixture_4,wasserstein_if_ascent_exact,200,500,0.001,-0.0001470982778526291,-0.0003426544719844695,-0.0005811076912459128,-0.0005543428130777258,0.00019555619413184037,0.0004340094133932837,0.0004072445352250967,0.0004340094133932837,0.21700470669664185,0.1549370075989863,,,0.29836850403045323,0.2978049078629158,0.2208535763138302,0.1829730117928007,0.28438145030165335,0.28610581786761496,0.2269655520523175,0.20254717977841427,0.3239778859280719,0.3239778860406895,0.2185976342430678,0.13344659378817078
wasserstein_main_gamma_0001,beta_mixture_4,wasserstein_if_ascent_exact,300,500,0.001,-0.0001470982778526291,-0.0003615829576290365,-0.000579193727403214,-0.0005566565610783553,0.0002144846797764074,0.0004320954495505849,0.0004095582832257262,0.00043209544955058465,0.21604772477529233,0.1800004556232364,,,0.29003961067186274,0.2909145745000734,0.2447136921620323,0.1743321226660315,0.27766298743648654,0.28029255672065667,0.2499567294446839,0.1920877263981729,0.3239778859280719,0.3239778860406895,0.2185976342430678,0.13344659378817078
wasserstein_main_gamma_0001,beta_mixture_4,wasserstein_if_ascent_exact,400,500,0.001,-0.0001470982778526291,-0.00030047003698992724,-0.000503595774737039,-0.0004740372870085498,0.00015337175913729813,0.00035649749688440986,0.0003269390091559207,0.00035649749688441024,0.17824874844220512,0.1520288043606504,,,0.29712391279463346,0.29780828171755497,0.23389357401872654,0.171174231469085,0.2874188797919626,0.28452248999647356,0.23847840049830676,0.18958022971325697,0.3239778859280719,0.3239778860406895,0.2185976342430678,0.13344659378817078
wasserstein_main_gamma_0001,beta_mixture_4,wasserstein_if_ascent_exact,500,500,0.001,-0.0001470982778526291,-0.0002958497121611476,-0.0004718015501896142,-0.0004491048873847917,0.00014875143430851848,0.000324703272336985,0.0003020066095321626,0.0003247032723369851,0.16235163616849255,0.15626512436452084,,,0.29530298677604117,0.29611994173555983,0.2417278956875539,0.16684917580084502,0.28310072907628625,0.28672248071021483,0.24729374950986974,0.18288304070362935,0.3239778859280719,0.3239778860406895,0.2185976342430678,0.13344659378817078
wasserstein_main_gamma_0001,beta_mixture_4,wasserstein_if_ascent_exact,600,500,0.001,-0.0001470982778526291,-0.000331624146021642,-0.0005657732422800181,-0.0005424320906720477,0.00018452586816901292,0.000418674964427389,0.0003953338128194186,0.0004186749644273885,0.20933748221369425,0.17047975640552127,,,0.29452056992576625,0.29386754945338023,0.23799442650690777,0.17361745411394564,0.28189442327429004,0.28082147049171097,0.243359299813809,0.19392480642019044,0.3239778859280719,0.3239778860406895,0.2185976342430678,0.13344659378817078
wasserstein_main_gamma_0001,beta_mixture_4,wasserstein_if_ascent_exact,700,500,0.001,-0.0001470982778526291,-0.0003035807390358805,-0.0005062657903636996,-0.00048183006345270797,0.00015648246118325142,0.00035916751251107045,0.00033473178560007886,0.00035916751251107045,0.17958375625553522,0.14703033958223088,,,0.2981116730062775,0.30033668079747544,0.2266577790523583,0.17489386714388883,0.2881463822564126,0.28629421992123355,0.23228550538851858,0.1932738924338356,0.3239778859280719,0.3239778860406895,0.2185976342430678,0.13344659378817078
wasserstein_main_gamma_0001,beta_mixture_4,wasserstein_if_ascent_exact,800,500,0.001,-0.0001470982778526291,-0.0002914707103330515,-0.0004977484399304134,-0.0004710016152229623,0.00014437243248042238,0.00035065016207778434,0.0003239033373703332,0.00035065016207778434,0.17532508103889216,0.15205856807736262,,,0.29760247014432756,0.298322270569423,0.23453370823001374,0.16954155105623572,0.28464990472802776,0.2872765832020524,0.2390412681098572,0.18903224396006274,0.3239778859280719,0.3239778860406895,0.2185976342430678,0.13344659378817078
wasserstein_main_gamma_0001,beta_mixture_4,wasserstein_if_ascent_exact,900,500,0.001,-0.0001470982778526291,-0.0002976000001847336,-0.0004754888671762815,-0.0004532620245684754,0.0001505017223321045,0.00032839058932365245,0.0003061637467158463,0.00032839058932365185,0.16419529466182592,0.13563548261881578,,,0.3001347617792365,0.3009850623055796,0.22319691528248034,0.1756832606327036,0.2889585440480781,0.2911794866112754,0.22711078980477933,0.1927511795358671,0.3239778859280719,0.3239778860406895,0.2185976342430678,0.13344659378817078
wasserstein_main_gamma_0001,beta_mixture_4,wasserstein_if_ascent_exact,1000,500,0.001,-0.0001470982778526291,-0.0003198345844042055,-0.0005317444851776877,-0.0005057561766890473,0.00017273630655157638,0.0003846462073250587,0.0003586578988364182,0.00038464620732505853,0.19232310366252928,0.15216980068366637,,,0.297600235971729,0.29887295641999506,0.22596445194053086,0.1775623556677451,0.2848980277254157,0.28697284390151273,0.2327567102192758,0.1953724181537962,0.3239778859280719,0.3239778860406895,0.2185976342430678,0.13344659378817078
