experiment_name,instance_name,algorithm_name,seed,T,gamma,u_star,final_utility,mean_utility,final_gap,mean_gap,final_avg_weight_gap,final_time_avg_gap,l1_error_to_w_star,final_w_0,final_w_1,final_w_2,final_w_3,final_w_4,final_w_5,w_star_0,w_star_1,w_star_2,w_star_3,w_star_4,w_star_5
variance_suite,mixed_shapes_6,variance_mirror_ascent,101,500,0.02,0.1001318181818181,0.06991158563566999,0.06928742386446705,0.030220232546148112,0.030844394317351045,0.030844246763445243,0.030844394317351028,1.1320769344910455,0.1726419418677012,0.17800612112823605,0.17595541162623995,0.16297986530596736,0.16166041446305807,0.14875624560879736,0.020000000000001395,0.45999999999999996,0.45999999999999874,0.01999999999999997,0.01999999999999997,0.01999999999999997
variance_suite,mixed_shapes_6,variance_mirror_ascent,202,500,0.02,0.1001318181818181,0.06941638996261895,0.06880195273520388,0.030715428219199148,0.03132986544661421,0.031329793184918214,0.031329865446614195,1.1367569654822676,0.168488766924564,0.17705760329855338,0.1745639139603116,0.16375637896925394,0.16250182491487253,0.15363151193244456,0.020000000000001395,0.45999999999999996,0.45999999999999874,0.01999999999999997,0.01999999999999997,0.01999999999999997
variance_suite,mixed_shapes_6,variance_mirror_ascent,303,500,0.02,0.1001318181818181,0.06975618652592952,0.06917014600367756,0.03037563165588858,0.030961672178140554,0.030961580742107614,0.030961672178140543,1.1269111849500772,0.1678687963161681,0.1798102532337322,0.17673415429122785,0.1612228289210316,0.16288951374536695,0.1514744534924734,0.020000000000001395,0.45999999999999996,0.45999999999999874,0.01999999999999997,0.01999999999999997,0.01999999999999997
variance_suite,mixed_shapes_6,variance_mirror_ascent,404,500,0.02,0.1001318181818181,0.06968987092027543,0.06908140149815079,0.030441947261542673,0.031050416683667315,0.031050280083192244,0.03105041668366729,1.1318163499918485,0.16751348661275678,0.1782932832709438,0.1757985417331307,0.16523207780969504,0.16278071904730956,0.15038189152616419,0.020000000000001395,0.45999999999999996,0.45999999999999874,0.01999999999999997,0.01999999999999997,0.01999999999999997
variance_suite,mixed_shapes_6,variance_mirror_ascent,505,500,0.02,0.1001318181818181,0.06976287008570883,0.0691298899471068,0.030368948096109266,0.031001928234711314,0.031001805358377515,0.03100192823471132,1.1318178696057923,0.17032142948434503,0.17909947207938667,0.17499159311771575,0.16121590905512911,0.16395546810687256,0.1504161281565508,0.020000000000001395,0.45999999999999996,0.45999999999999874,0.01999999999999997,0.01999999999999997,0.01999999999999997
variance_suite,mixed_shapes_6,variance_if_ascent,101,500,0.02,0.1001318181818181,0.07087793556682576,0.07030563644608029,0.029253882614992344,0.029826181735737815,0.02982568684068254,0.029826181735737794,1.1424495279223676,0.1811692031950235,0.15792471676135625,0.19085051927745866,0.17484544457052206,0.16556075630294237,0.12964935989269719,0.020000000000001395,0.45999999999999996,0.45999999999999874,0.01999999999999997,0.01999999999999997,0.01999999999999997
variance_suite,mixed_shapes_6,variance_if_ascent,202,500,0.02,0.1001318181818181,0.06715977825691843,0.06653444534111787,0.032972039924899665,0.03359737284070024,0.03359568638159488,0.03359737284070024,1.1955034405353158,0.16744085822668953,0.15381120721718655,0.16843707251515422,0.1661489017353725,0.17631184946650233,0.1678501108390948,0.020000000000001395,0.45999999999999996,0.45999999999999874,0.01999999999999997,0.01999999999999997,0.01999999999999997
variance_suite,mixed_shapes_6,variance_if_ascent,303,500,0.02,0.1001318181818181,0.0686473801081321,0.06811217935815023,0.031484438073686005,0.03201963882366786,0.03201823777652435,0.032019638823667845,1.1556245571845563,0.16490401849188355,0.13792353909914348,0.2042641823085772,0.16759615917185477,0.17535359360351993,0.1499585073250212,0.020000000000001395,0.45999999999999996,0.45999999999999874,0.01999999999999997,0.01999999999999997,0.01999999999999997
variance_suite,mixed_shapes_6,variance_if_ascent,404,500,0.02,0.1001318181818181,0.0676894347302962,0.06705777359773492,0.032442383451521895,0.033074044584083175,0.03307377947574941,0.03307404458408317,1.2088411891014876,0.1724997456517129,0.13584526262971017,0.17973414281954464,0.18113294952225,0.17817052353832177,0.15261737583846058,0.020000000000001395,0.45999999999999996,0.45999999999999874,0.01999999999999997,0.01999999999999997,0.01999999999999997
variance_suite,mixed_shapes_6,variance_if_ascent,505,500,0.02,0.1001318181818181,0.07071838320771012,0.07013824284212207,0.029413434974107977,0.029993575339696037,0.029993455058800383,0.029993575339696054,1.1144126121433757,0.17479296001607267,0.17850159901002693,0.18429209491828394,0.16978981889915706,0.14970750526446744,0.14291602189199193,0.020000000000001395,0.45999999999999996,0.45999999999999874,0.01999999999999997,0.01999999999999997,0.01999999999999997
