experiment_name,instance_name,algorithm_name,seed,T,gamma,u_star,final_utility,mean_utility,final_gap,mean_gap,final_avg_weight_gap,final_time_avg_gap,l1_error_to_w_star,final_w_0,final_w_1,final_w_2,final_w_3,final_w_4,w_star_0,w_star_1,w_star_2,w_star_3,w_star_4
variance_suite,beta_shifted_5,variance_mirror_ascent,101,500,0.02,0.34698285540096224,0.26552697369637307,0.254546820004993,0.08145588170458917,0.09243603539596924,0.0923333684642475,0.09243603539596916,0.8753108711472899,0.17470549560935253,0.2964775863073974,0.18340858920394607,0.1395413507603469,0.2058669781189571,0.019999999999999983,0.47326017375400053,0.020000000000000247,0.02000000000000032,0.46673982624599886
variance_suite,beta_shifted_5,variance_mirror_ascent,202,500,0.02,0.34698285540096224,0.2716019123770774,0.261521345911255,0.07538094302388482,0.08546150948970728,0.08534820592781156,0.08546150948970725,0.8359055418890582,0.18533564036105854,0.3162182264093919,0.1517427868823106,0.14087434370116061,0.20582900264607845,0.019999999999999983,0.47326017375400053,0.020000000000000247,0.02000000000000032,0.46673982624599886
variance_suite,beta_shifted_5,variance_mirror_ascent,303,500,0.02,0.34698285540096224,0.26751410508697115,0.25668686254905915,0.07946875031399109,0.09029599285190316,0.09006634804292774,0.09029599285190314,0.8560511130610285,0.18311707586689788,0.3042341925254119,0.151657900407592,0.15325058025602495,0.20774025094407322,0.019999999999999983,0.47326017375400053,0.020000000000000247,0.02000000000000032,0.46673982624599886
variance_suite,beta_shifted_5,variance_mirror_ascent,404,500,0.02,0.34698285540096224,0.26626536575565035,0.25599250033459553,0.08071748964531189,0.09099035506636671,0.09087540053456938,0.09099035506636664,0.8770768294451664,0.1884034581724711,0.2965467770453925,0.1610241693178627,0.14911078723225002,0.20491480823202365,0.019999999999999983,0.47326017375400053,0.020000000000000247,0.02000000000000032,0.46673982624599886
variance_suite,beta_shifted_5,variance_mirror_ascent,505,500,0.02,0.34698285540096224,0.2556565886677553,0.2478778324773863,0.09132626673320693,0.09910502292357595,0.09909705435151192,0.09910502292357584,0.9457335593795175,0.205755531671267,0.2394590518884861,0.17287729968344603,0.15423394833504625,0.2276741684217546,0.019999999999999983,0.47326017375400053,0.020000000000000247,0.02000000000000032,0.46673982624599886
variance_suite,beta_shifted_5,variance_if_ascent,101,500,0.02,0.34698285540096224,0.2584197077753134,0.24739703253771514,0.08856314762564882,0.0995858228632471,0.09956127828898109,0.09958582286324699,0.935268484714835,0.1979563638447012,0.2618237048843737,0.1713691102542455,0.15830876825847143,0.21054205275820825,0.019999999999999983,0.47326017375400053,0.020000000000000247,0.02000000000000032,0.46673982624599886
variance_suite,beta_shifted_5,variance_if_ascent,202,500,0.02,0.34698285540096224,0.25754348794972187,0.2473557456137982,0.08943936745124037,0.09962710978716405,0.09961267863030515,0.09962710978716403,0.9120159230704883,0.21315658712876925,0.24143476007705206,0.13778990682542452,0.16506146758105095,0.2425572783877033,0.019999999999999983,0.47326017375400053,0.020000000000000247,0.02000000000000032,0.46673982624599886
variance_suite,beta_shifted_5,variance_if_ascent,303,500,0.02,0.34698285540096224,0.25632253303405866,0.2440813685632099,0.09066032236690358,0.10290148683775237,0.10276224345235024,0.10290148683775253,0.9159693889186646,0.18997270868262026,0.25262156715473316,0.15499396433788945,0.1730180214388231,0.22939373838593394,0.019999999999999983,0.47326017375400053,0.020000000000000247,0.02000000000000032,0.46673982624599886
variance_suite,beta_shifted_5,variance_if_ascent,404,500,0.02,0.34698285540096224,0.2497461490134881,0.2396392965124591,0.09723670638747414,0.10734355888850311,0.10725196436727452,0.10734355888850323,0.9773655446443751,0.19756639573088616,0.23443478883396043,0.1745842236174856,0.17653215297381628,0.21688243884385142,0.019999999999999983,0.47326017375400053,0.020000000000000247,0.02000000000000032,0.46673982624599886
variance_suite,beta_shifted_5,variance_if_ascent,505,500,0.02,0.34698285540096224,0.2643908163046775,0.2555741216514827,0.08259203909628476,0.09140873374947958,0.09135606408798458,0.09140873374947961,0.9252982894688252,0.21594329493772757,0.276840628973385,0.16285748355477817,0.1438483662419075,0.20051022629220186,0.019999999999999983,0.47326017375400053,0.020000000000000247,0.02000000000000032,0.46673982624599886
