experiment_name,instance_name,algorithm_name,seed,T,gamma,u_star,final_utility,mean_utility,final_gap,mean_gap,final_avg_weight_gap,final_time_avg_gap,l1_error_to_w_star,final_w_0,final_w_1,final_w_2,final_w_3,w_star_0,w_star_1,w_star_2,w_star_3
variance_suite,beta_mixture_4,variance_mirror_ascent,100,1500,0.02,0.10148558758314852,0.09823408581522886,0.09348066731644467,0.0032515017679196623,0.008004920266703854,0.007960841704936827,0.008004920266703857,0.09905310530418315,0.4461189668420568,0.4643544805058514,0.05767925221211933,0.03184730043997234,0.4800000000000001,0.47999999999999976,0.02000000000000018,0.019999999999999997
variance_suite,beta_mixture_4,variance_mirror_ascent,200,1500,0.02,0.10148558758314852,0.09923799547469347,0.09434023534583169,0.002247592108455043,0.0071453522373168335,0.007116590299585973,0.007145352237316839,0.06847015065164437,0.46400841898041795,0.4617565056937597,0.04558480505294334,0.028650270272878996,0.4800000000000001,0.47999999999999976,0.02000000000000018,0.019999999999999997
variance_suite,beta_mixture_4,variance_mirror_ascent,300,1500,0.02,0.10148558758314852,0.09797198038924304,0.09233690690767968,0.003513607193905477,0.00914868067546885,0.009118286999618197,0.00914868067546886,0.10597981905656857,0.4442588275229775,0.46275126294873803,0.05949473271326291,0.03349517681502153,0.4800000000000001,0.47999999999999976,0.02000000000000018,0.019999999999999997
variance_suite,beta_mixture_4,variance_mirror_ascent,400,1500,0.02,0.10148558758314852,0.09848310380744513,0.09419251223632,0.0030024837757033906,0.0072930753468285195,0.007199891459518548,0.007293075346828525,0.09137597173834025,0.43971749820437267,0.474594515926457,0.056555571924840405,0.02913241394432986,0.4800000000000001,0.47999999999999976,0.02000000000000018,0.019999999999999997
variance_suite,beta_mixture_4,variance_mirror_ascent,500,1500,0.02,0.10148558758314852,0.09867188586883918,0.09310547058008084,0.0028137017143093357,0.008380117003067669,0.008310898913934994,0.008380117003067665,0.09356064303545766,0.45085561826120285,0.46236406022106813,0.061082965342769684,0.02569735617495928,0.4800000000000001,0.47999999999999976,0.02000000000000018,0.019999999999999997
variance_suite,beta_mixture_4,variance_mirror_ascent,600,1500,0.02,0.10148558758314852,0.09770753863521414,0.09267657726991971,0.003778048947934376,0.008809010313228817,0.008751163069491835,0.008809010313228815,0.11468078904679022,0.45302134307794445,0.4496382623986603,0.06254939411132357,0.034791000412071706,0.4800000000000001,0.47999999999999976,0.02000000000000018,0.019999999999999997
variance_suite,beta_mixture_4,variance_mirror_ascent,700,1500,0.02,0.10148558758314852,0.09901606471606608,0.09424071165647042,0.0024695228670824354,0.007244875926678105,0.007185311329759747,0.007244875926678121,0.073860829105514,0.4631711808820805,0.45989840456516234,0.046585371475215395,0.030345043077541763,0.4800000000000001,0.47999999999999976,0.02000000000000018,0.019999999999999997
variance_suite,beta_mixture_4,variance_mirror_ascent,800,1500,0.02,0.10148558758314852,0.09920381530471326,0.09416639865599578,0.0022817722784352623,0.007319188927152719,0.007264566830365166,0.00731918892715273,0.07311243497856529,0.4755513926956268,0.4478923898150904,0.051569138314317926,0.024987079174964868,0.4800000000000001,0.47999999999999976,0.02000000000000018,0.019999999999999997
variance_suite,beta_mixture_4,variance_mirror_ascent,900,1500,0.02,0.10148558758314852,0.09941354966558358,0.09501317892355704,0.0020720379175649395,0.006472408659591478,0.0064066523824459765,0.006472408659591471,0.05984612488496359,0.4727109836483014,0.4573659539092167,0.040386494767443874,0.029536567675038112,0.4800000000000001,0.47999999999999976,0.02000000000000018,0.019999999999999997
variance_suite,beta_mixture_4,variance_mirror_ascent,1000,1500,0.02,0.10148558758314852,0.09879213557460348,0.09375457012218529,0.0026934520085450386,0.0077310174609632135,0.007687310655880242,0.007731017460963217,0.08245334532594863,0.4603238806989206,0.45844944663810494,0.051104041589445336,0.030122631073529162,0.4800000000000001,0.47999999999999976,0.02000000000000018,0.019999999999999997
variance_suite,beta_mixture_4,variance_mirror_ascent,1100,1500,0.02,0.10148558758314852,0.09918088113779688,0.09451345827904746,0.002304706445351634,0.0069721293041010435,0.006933159778365117,0.0069721293041010435,0.07127404881905103,0.469160254008119,0.45520272158235536,0.04781660226695643,0.027820422142569294,0.4800000000000001,0.47999999999999976,0.02000000000000018,0.019999999999999997
variance_suite,beta_mixture_4,variance_mirror_ascent,1200,1500,0.02,0.10148558758314852,0.09831520471426422,0.09347847233539926,0.003170382868884297,0.008007115247749266,0.007956509636122044,0.00800711524774927,0.09270224417731776,0.46060860253619385,0.4530402753751471,0.051842026508088994,0.03450909558057001,0.4800000000000001,0.47999999999999976,0.02000000000000018,0.019999999999999997
variance_suite,beta_mixture_4,variance_mirror_ascent,1300,1500,0.02,0.10148558758314852,0.0982724591209419,0.09400832247514959,0.003213128462206616,0.007477265107998931,0.007403791579355251,0.007477265107998933,0.10121541681067614,0.45367073114996215,0.4557215604446996,0.060304648194704054,0.030303060210634135,0.4800000000000001,0.47999999999999976,0.02000000000000018,0.019999999999999997
variance_suite,beta_mixture_4,variance_mirror_ascent,1400,1500,0.02,0.10148558758314852,0.09840983457852243,0.09379345698711923,0.0030757530046260917,0.00769213059602927,0.007654294267995132,0.007692130596029263,0.08687573051012554,0.4498180773833361,0.46674405736160096,0.047934605684765444,0.0355032595702975,0.4800000000000001,0.47999999999999976,0.02000000000000018,0.019999999999999997
variance_suite,beta_mixture_4,variance_mirror_ascent,1500,1500,0.02,0.10148558758314852,0.09867755615015122,0.09336223042893001,0.0028080314329972933,0.008123357154218502,0.008069473159702967,0.008123357154218504,0.08470728265389349,0.45526488333147375,0.4623814753415793,0.05111794015042694,0.031235701176519918,0.4800000000000001,0.47999999999999976,0.02000000000000018,0.019999999999999997
variance_suite,beta_mixture_4,variance_mirror_ascent,1600,1500,0.02,0.10148558758314852,0.09987130034776351,0.09546149667365326,0.001614287235385009,0.00602409090949525,0.005917442653624649,0.006024090909495261,0.05628643638808688,0.4748337911679788,0.4570229906379775,0.046989469282867236,0.021153748911176298,0.4800000000000001,0.47999999999999976,0.02000000000000018,0.019999999999999997
variance_suite,beta_mixture_4,variance_mirror_ascent,1700,1500,0.02,0.10148558758314852,0.09933852984252836,0.09541924571172335,0.0021470577406201563,0.006066341871425161,0.005965205887604158,0.006066341871425161,0.07050091930277098,0.4729288899613403,0.45182065038727415,0.05105467463169028,0.024195785019695482,0.4800000000000001,0.47999999999999976,0.02000000000000018,0.019999999999999997
variance_suite,beta_mixture_4,variance_mirror_ascent,1800,1500,0.02,0.10148558758314852,0.0989024971480651,0.0943350988366279,0.002583090435083424,0.007150488746520612,0.007071038206263036,0.007150488746520607,0.07962002134829387,0.4567073133869142,0.46348267593893866,0.050527979468950907,0.029282031205196173,0.4800000000000001,0.47999999999999976,0.02000000000000018,0.019999999999999997
variance_suite,beta_mixture_4,variance_mirror_ascent,1900,1500,0.02,0.10148558758314852,0.09889406278237389,0.09417058654821595,0.002591524800774625,0.007315001034932581,0.007268655339303376,0.007315001034932594,0.08212541605354923,0.4533406880691053,0.4655966039041199,0.0533587612407429,0.02770394678603186,0.4800000000000001,0.47999999999999976,0.02000000000000018,0.019999999999999997
