experiment_name,instance_name,algorithm_name,eta0,seed,T,gamma,u_star,final_utility,mean_utility,final_gap,mean_gap,final_avg_weight_gap,final_time_avg_gap,l1_error_to_w_star,final_w_0,final_w_1,final_w_2,final_w_3,w_star_0,w_star_1,w_star_2,w_star_3
variance_suite_eta_grid,beta_mixture_4,variance_mirror_ascent,0.5,100,500,0.02,0.10148558758314846,0.07507855627471577,0.07232877236443755,0.026407031308432694,0.029156815218710896,0.02915426746775701,0.02915681521871092,0.7156402598418922,0.2980166653744672,0.3041632047045864,0.22096849173657954,0.17685163818436692,0.4800000000000002,0.4799999999999995,0.02000000000000006,0.020000000000000302
variance_suite_eta_grid,beta_mixture_4,variance_mirror_ascent,0.5,200,500,0.02,0.10148558758314846,0.07401918340589714,0.07131340740847475,0.027466404177251325,0.030172180174673716,0.03017104408145277,0.03017218017467374,0.7347593267582573,0.29281484324978313,0.29980549337108786,0.2182975944686486,0.18908206891048032,0.4800000000000002,0.4799999999999995,0.02000000000000006,0.020000000000000302
variance_suite_eta_grid,beta_mixture_4,variance_mirror_ascent,0.5,300,500,0.02,0.10148558758314846,0.07343239679211477,0.07090442562921838,0.02805319079103369,0.03058116195393008,0.030580051905771677,0.030581161953930094,0.7653776828034105,0.28378868389071005,0.2935224747075844,0.23935562017017753,0.18333322123152804,0.4800000000000002,0.4799999999999995,0.02000000000000006,0.020000000000000302
variance_suite_eta_grid,beta_mixture_4,variance_mirror_ascent,0.5,400,500,0.02,0.10148558758314846,0.07518043262166199,0.07243408215970204,0.02630515496148647,0.029051505423446415,0.029049374931223088,0.029051505423446415,0.7087643336723176,0.313490927634227,0.29212690552961385,0.216437851826485,0.1779443150096742,0.4800000000000002,0.4799999999999995,0.02000000000000006,0.020000000000000302
variance_suite_eta_grid,beta_mixture_4,variance_mirror_ascent,0.5,500,500,0.02,0.10148558758314846,0.07508508796379548,0.07247755156121337,0.02640049961935298,0.02900803602193509,0.029005287857027495,0.029008036021935107,0.7155542215481958,0.2880023415012981,0.31422054772460367,0.22235251142442328,0.175424599349675,0.4800000000000002,0.4799999999999995,0.02000000000000006,0.020000000000000302
variance_suite_eta_grid,beta_mixture_4,variance_mirror_ascent,0.5,600,500,0.02,0.10148558758314846,0.07373150312045482,0.07101526487551399,0.027754084462693646,0.030470322707634473,0.03046894290563712,0.03047032270763449,0.7512385786878232,0.2987895201008531,0.28559119055523496,0.2304785336307707,0.1851407557131412,0.4800000000000002,0.4799999999999995,0.02000000000000006,0.020000000000000302
variance_suite_eta_grid,beta_mixture_4,variance_mirror_ascent,0.5,700,500,0.02,0.10148558758314846,0.07507857434053533,0.07207236410524132,0.02640701324261313,0.02941322347790715,0.02941110362213814,0.02941322347790715,0.7081018711949678,0.30515813664919106,0.3007909277533248,0.21247842027446337,0.18157251532302088,0.4800000000000002,0.4799999999999995,0.02000000000000006,0.020000000000000302
variance_suite_eta_grid,beta_mixture_4,variance_mirror_ascent,0.5,800,500,0.02,0.10148558758314846,0.07501948557739468,0.07217758963541161,0.026466102005753778,0.02930799794773685,0.02930602778190433,0.029307997947736853,0.7192564784389254,0.29253523687499705,0.30783652390553984,0.22408005699383177,0.17554818222563126,0.4800000000000002,0.4799999999999995,0.02000000000000006,0.020000000000000302
variance_suite_eta_grid,beta_mixture_4,variance_mirror_ascent,0.5,900,500,0.02,0.10148558758314846,0.07526916395080058,0.07269461083795489,0.026216423632347885,0.028790976745193562,0.02878845207031916,0.028790976745193573,0.70604761788901,0.30126190923627394,0.3057142818192206,0.21451791412871432,0.17850589481579104,0.4800000000000002,0.4799999999999995,0.02000000000000006,0.020000000000000302
variance_suite_eta_grid,beta_mixture_4,variance_mirror_ascent,0.5,1000,500,0.02,0.10148558758314846,0.07455371347614353,0.07192189449372047,0.026931874107004927,0.029563693089427984,0.029556794488621863,0.029563693089427977,0.721039161553249,0.2893501906450912,0.31013022857828393,0.21587481470551667,0.1846447660711082,0.4800000000000002,0.4799999999999995,0.02000000000000006,0.020000000000000302
