seed,instance_name,algorithm_name,T,avg_reward,cum_reward,final_w_0,final_w_1,final_w_2
101,toy_uniform_instance,simple_mirror_ascent,500,0.4756564824768227,237.82824123841135,0.7477856029583995,0.21556373282525487,0.036650664216345816
202,toy_uniform_instance,simple_mirror_ascent,500,0.47494276908049493,237.47138454024747,0.8752624022357026,0.10722508165212473,0.017512516112172555
303,toy_uniform_instance,simple_mirror_ascent,500,0.4633615152222172,231.6807576111086,0.059110407992542295,0.9242366726911915,0.016652919316266297
404,toy_uniform_instance,simple_mirror_ascent,500,0.477961662999948,238.98083149997402,0.7025297524094617,0.2806241876010101,0.01684605998952828
505,toy_uniform_instance,simple_mirror_ascent,500,0.4762030182216516,238.10150911082582,0.07413190310736516,0.9090877353515663,0.016780361541068472
101,toy_uniform_instance,uniform,500,0.4133931254515483,206.69656272577416,0.3333333333333333,0.3333333333333333,0.3333333333333333
202,toy_uniform_instance,uniform,500,0.41750166070531475,208.75083035265737,0.3333333333333333,0.3333333333333333,0.3333333333333333
303,toy_uniform_instance,uniform,500,0.413696600506225,206.84830025311248,0.3333333333333333,0.3333333333333333,0.3333333333333333
404,toy_uniform_instance,uniform,500,0.41815686088240234,209.07843044120116,0.3333333333333333,0.3333333333333333,0.3333333333333333
505,toy_uniform_instance,uniform,500,0.4129364960217387,206.46824801086936,0.3333333333333333,0.3333333333333333,0.3333333333333333
