experiment_name,instance_name,algorithm_name,seed,T,gamma,u_star,final_utility,mean_utility,final_avg_utility,final_gap,mean_gap,final_avg_weight_gap,final_time_avg_gap,final_cumulative_regret,l1_error_to_w_star,final_mc_bias_inf,final_mc_bias_l2,final_w_0,final_w_1,final_w_2,final_w_3,final_avg_w_0,final_avg_w_1,final_avg_w_2,final_avg_w_3,w_star_0,w_star_1,w_star_2,w_star_3
variance_main_gamma_0001,beta_mixture_4,variance_mirror_ascent,100,500,0.001,0.1043924611973393,0.0819105590927656,0.0771572606785183,0.07716415853366418,0.02248190210457371,0.027235200518821008,0.027228302663675125,0.027235200518821022,13.61760025941051,0.7388222498567684,,,0.34880416365883643,0.3418304011629804,0.17825563136196773,0.13110980381621537,0.31564954543869134,0.3129393296329246,0.20919129242426698,0.1622198325041172,0.49900000000000067,0.49899999999999944,0.0010000000000000005,0.0009999999999999996
variance_main_gamma_0001,beta_mixture_4,variance_mirror_ascent,200,500,0.001,0.1043924611973393,0.08052154296609701,0.07564345466999609,0.07564765533229528,0.023870918231242294,0.028749006527343218,0.02874480586504402,0.0287490065273432,14.3745032636716,0.7621454807182763,,,0.34075334641317406,0.3368172854658461,0.17584387201677937,0.14658549610420055,0.3032421413778382,0.3136851182630235,0.201007515169792,0.18206522518934584,0.49900000000000067,0.49899999999999944,0.0010000000000000005,0.0009999999999999996
variance_main_gamma_0001,beta_mixture_4,variance_mirror_ascent,300,500,0.001,0.1043924611973393,0.07862679943423512,0.07451452236643413,0.07451807189989212,0.025765661763104186,0.029877938830905164,0.02987438929744718,0.02987793883090516,14.938969415452581,0.817540302429733,,,0.31517828658894703,0.3251351588579301,0.21640371875778555,0.14328283579533732,0.2882562892411653,0.3009735595439683,0.23749544037567202,0.17327471083919438,0.49900000000000067,0.49899999999999944,0.0010000000000000005,0.0009999999999999996
variance_main_gamma_0001,beta_mixture_4,variance_mirror_ascent,400,500,0.001,0.1043924611973393,0.08183878030141886,0.07729829803904287,0.07731325342567597,0.02255368089592044,0.027094163158296432,0.02707920777166334,0.02709416315829643,13.547081579148214,0.7295530608767917,,,0.3525746450246373,0.33657647354464265,0.18037216750361298,0.1304767139271071,0.33256810949961346,0.30065536006199073,0.2042673262334148,0.1625092042049811,0.49900000000000067,0.49899999999999944,0.0010000000000000005,0.0009999999999999996
variance_main_gamma_0001,beta_mixture_4,variance_mirror_ascent,500,500,0.001,0.1043924611973393,0.08149249479521997,0.07724962181254658,0.07725675510320906,0.02289996640211933,0.027142839384792724,0.02713570609413024,0.027142839384792738,13.571419692396368,0.7405881317088328,,,0.31966914050612344,0.36242735072226034,0.19152728281912074,0.12637622595249534,0.2946794076801096,0.3330265264654741,0.21627983495683026,0.15601423089758606,0.49900000000000067,0.49899999999999944,0.0010000000000000005,0.0009999999999999996
variance_main_gamma_0001,beta_mixture_4,variance_mirror_ascent,600,500,0.001,0.1043924611973393,0.07918713187951043,0.07499869268818844,0.07501088323921035,0.025205329317828873,0.02939376850915086,0.029381577958128957,0.02939376850915088,14.696884254575439,0.7994210314456984,,,0.32567849349876427,0.32228122822491717,0.2118410757077812,0.14019920256853735,0.30946508987664645,0.28882439440050417,0.2289468754530622,0.1727636402697868,0.49900000000000067,0.49899999999999944,0.0010000000000000005,0.0009999999999999996
variance_main_gamma_0001,beta_mixture_4,variance_mirror_ascent,700,500,0.001,0.1043924611973393,0.08129620096973139,0.07659076821146854,0.07661199080749181,0.023096260227607912,0.027801692985870766,0.02778047038984749,0.02780169298587074,13.900846492935369,0.7432887774993332,,,0.33974458520156814,0.3447051303444393,0.1780817204831065,0.13746856397088592,0.3239733373970186,0.30238227385331445,0.2025626625422527,0.1710817262074135,0.49900000000000067,0.49899999999999944,0.0010000000000000005,0.0009999999999999996
variance_main_gamma_0001,beta_mixture_4,variance_mirror_ascent,800,500,0.001,0.1043924611973393,0.08163352927034873,0.07663490115745275,0.07664433136198862,0.022758931926990578,0.027757560039886556,0.027748129835350688,0.027757560039886563,13.878780019943282,0.7512562712453252,,,0.34080755677035884,0.3421528296786957,0.18905828286439919,0.12798133068654616,0.3009836715157225,0.321388192861615,0.21213040852561477,0.16549772709704777,0.49900000000000067,0.49899999999999944,0.0010000000000000005,0.0009999999999999996
variance_main_gamma_0001,beta_mixture_4,variance_mirror_ascent,900,500,0.001,0.1043924611973393,0.08188660612151466,0.07779841334293641,0.07781147052354287,0.022505855075824643,0.02659404785440288,0.026580990673796434,0.026594047854402884,13.297023927201442,0.7170524893434742,,,0.3395854334950812,0.35016361495227055,0.17982543163802425,0.13042551991462406,0.31733588553629477,0.32213786979196835,0.19955931497453708,0.16096692969720017,0.49900000000000067,0.49899999999999944,0.0010000000000000005,0.0009999999999999996
variance_main_gamma_0001,beta_mixture_4,variance_mirror_ascent,1000,500,0.001,0.1043924611973393,0.08049630094673083,0.07579872872127416,0.07582954819840415,0.023896160250608478,0.028593732476065142,0.028562912998935153,0.02859373247606515,14.296866238032575,0.7610212504178469,,,0.3184743177549483,0.3577719597168812,0.1813727441176153,0.14238097841055528,0.29618965053528135,0.32129972425579495,0.20495912288736104,0.17755150232156205,0.49900000000000067,0.49899999999999944,0.0010000000000000005,0.0009999999999999996
variance_main_gamma_0001,beta_mixture_4,variance_if_ascent,100,500,0.001,0.1043924611973393,0.09450375696578378,0.09314753733194363,0.09329666507668233,0.009888704231555523,0.011244923865395681,0.011095796120656976,0.011244923865395677,5.6224619326978384,0.3323452800227551,0.0016519377046055165,0.0022818808858549814,0.415794338942569,0.4348607229696288,0.10691238401977596,0.04243255406802617,0.42141541738929034,0.4104119425993321,0.12114018482307694,0.04703245518830049,0.49900000000000067,0.49899999999999944,0.0010000000000000005,0.0009999999999999996
variance_main_gamma_0001,beta_mixture_4,variance_if_ascent,200,500,0.001,0.1043924611973393,0.07640832020325639,0.06914912507800937,0.0691753542648137,0.027984140994082918,0.03524333611932994,0.03521710693252561,0.03524333611932993,17.621668059664962,0.82056416733211,0.001400708762229197,0.0018962224089368465,0.3023762868849568,0.3585443537739072,0.12592582820516138,0.21315353113597457,0.25235905671180503,0.3353588596221401,0.13298143789025715,0.279300645775798,0.49900000000000067,0.49899999999999944,0.0010000000000000005,0.0009999999999999996
